	Amazon CodeGuru	Amazon Comprehend	Amazon Fraud Detector	Amazon Kendra	Amazon Lex	Amazon Personalize	Amazon Recognition	Amazon Textract	Amazon Transcribe	Amazon Translate	Amazon SageMaker	Amazon SageMaker Ground Truth	Amazon Augmented AI	Container di deep learning AWS
Come è possibile monitorare e arrestare le risorse utilizzate dai notebook?											Puoi monitorare e arrestare le risorse utilizzate dai tuoi notebook SageMaker Studio tramite l'interfaccia visiva di SageMaker Studio e la console di gestione AWS. Consulta la documentazione per ulteriori dettagli.			
Se eseguo un notebook amazon sagemaker studio, mi verranno comunque addebitati costi se chiudo il browser, la scheda dei notebook o semplicemente lascio il browser aperto?											Sì, continueranno a essere addebitati i costi di calcolo. È una situazione simile all'avvio delle istanze Amazon EC2 nella console di gestione AWS e quindi alla chiusura del browser. Le istanze Amazon EC2 sono ancora in esecuzione e vengono comunque addebitati costi a meno che non si arresti esplicitamente l'istanza.			
Vengono addebitati costi per la creazione e la configurazione di un dominio amazon sagemaker studio?											No, non viene addebitato alcun costo per la creazione o la configurazione di un dominio Amazon SageMaker Studio, inclusi l'aggiunta, l'aggiornamento e l'eliminazione dei profili utente.			
Come è possibile visualizzare gli addebiti dettagliati per i notebook amazon sagemaker studio o altri servizi amazon sagemaker?											"L'amministratore può visualizzare l'elenco degli addebiti dettagliati per Amazon SageMaker, incluso SageMaker Studio, nella Console AWS per la fatturazione. Dalla Console di gestione AWS per SageMaker, scegli Services (Servizi) nel menu in alto, digita ""billing"" (fatturazione) nella casella di ricerca e seleziona Billing (Fatturazione) dal menu a discesa, quindi seleziona Bills (Fatture) nel pannello di sinistra. Nella sezione Dettagli, seleziona SageMaker per espandere l'elenco delle regioni e fai clic ripetutamente fino a visualizzare gli addebiti in dettaglio."			
Cos'è amazon sagemaker studio lab?											Amazon SageMaker Studio Lab è un ambiente di sviluppo gratuito per il ML, che fornisce calcolo, archiviazione (fino a 15 GB) e sicurezza, il tutto a costo zero, per chiunque voglia imparare e sperimentare con il ML. Tutto ciò di cui hai bisogno per iniziare è un ID email valido: non c'è bisogno di configurare l'infrastruttura o di gestire l'identità e l'accesso e nemmeno di registrarti per un account AWS. SageMaker Studio Lab accelera la costruzione di modelli attraverso l'integrazione con GitHub, e viene preconfigurato con i più popolari strumenti di ML, framework e librerie per iniziare immediatamente. SageMaker Studio Lab salva automaticamente il lavoro in modo da non dover riavviare tra una sessione e l'altra. Facile come chiudere il portatile e riaprirlo più tardi.			
Perché dovrei usare amazon sagemaker studio lab?											Amazon SageMaker Studio Lab è pensato per gli studenti, i ricercatori e i data scientist che hanno bisogno di un ambiente di sviluppo senza alcuna attrezzatura richiesta per i loro corsi ed esperimenti di ML. SageMaker Studio Lab è ideale per gli utenti che non necessitano di un ambiente di produzione, ma vogliono comunque un sottoinsieme delle funzionalità di SageMaker per migliorare le proprie capacità di ML. Le sessioni di SageMaker vengono salvate automaticamente, permettendo agli utenti di riprendere da dove si erano interrotti per ciascuna sessione utente.			
In che modo amazon sagemaker studio lab si relaziona/lavora con altri servizi aws?											Amazon SageMaker Studio Lab è un servizio costruito su AWS che usa molti degli stessi servizi fondamentali di Amazon SageMaker Studio come Amazon S3 e Amazon EC2. A differenza degli altri servizi, i clienti non avranno bisogno di un account AWS. Creeranno invece un account specifico per Amazon SageMaker Studio Lab con un indirizzo e-mail. Questo darà all'utente l'accesso a un ambiente limitato (15 GB di archiviazione, e 12 ore di sessione) per eseguire i notebook di ML.			
Quali origini dei dati supporta amazon sagemaker canvas?											Amazon SageMaker Canvas consente di scoprire senza problemi le origini dei dati AWS a cui l'account ha accesso, compresi Amazon S3 e Amazon Redshift. È possibile sfogliare e importare i dati usando l'interfaccia visiva e a trascinamento e rilascio di SageMaker Canvas. Inoltre, è possibile trascinare e rilasciare i file dal disco locale e utilizzare i connettori predefiniti per importare dati da origini di terze parti come Snowflake.			
Come si costruisce un modello di ml per generare previsioni precise in amazon sagemaker canvas?											Una volta collegate le origini, selezionato un set di dati e preparati i dati, è possibile selezionare la colonna di destinazione che si vuole prevedere per iniziare un processo di creazione del modello. Amazon SageMaker Canvas identificherà automaticamente il tipo di problema, genererà nuove funzionalità rilevanti, testerà un set completo di modelli di previsione utilizzando tecniche di ML quali regressione lineare, regressione logistica, deep learning, previsione di serie temporali e gradient boosting, e costruirà un modello che effettua previsioni precise sulla base del set di dati.			
Quanto tempo occorre per costruire un modello in amazon sagemaker canvas?											Come posso monitorare i progressi durante la creazione del modello? Il tempo necessario per costruire un modello dipende dalla dimensione del set di dati. Piccoli set di dati possono richiedere meno di 30 minuti, e grandi set di dati possono richiedere alcune ore. Man mano che il processo di creazione del modello procede, Amazon SageMaker Canvas fornisce aggiornamenti visivi dettagliati, compresa la percentuale di completamento del processo e la quantità di tempo rimanente per il completamento.			
Cos'è amazon sagemaker experiments?											"Amazon SageMaker Experiments ti aiuta a organizzare e controllare le iterazioni sui modelli di ML. Esperimenti SageMaker ti aiuta a gestire le iterazioni con l'acquisizione automatica di parametri di input, configurazioni e risultati salvandoli come ""esperimenti"". Puoi lavorare all'interno dell'interfaccia visiva di Amazon SageMaker Studio, in cui puoi sfogliare gli esperimenti attivi, cercare gli esperimenti precedenti in base alle loro caratteristiche, rivederne i risultati e confrontare i risultati degli esperimenti in modo visivo."			
Cos'è debugger amazon sagemaker?											Debugger Amazon SageMaker acquisisce automaticamente metriche in tempo reale durante l'addestramento, come matrici di confusione e gradienti di apprendimento, per contribuire a migliorare la precisione del modello. Le metriche di Debugger SageMaker possono essere visualizzate in Amazon SageMaker Studio per una facile comprensione. Debugger SageMaker può anche generare segnalazioni e avvisi di correzione quando vengono rilevati comuni problemi di addestramento. SageMaker Debugger inoltre monitora e profila automaticamente le risorse di sistema come CPU, GPU, rete e memoria in tempo reale, e fornisce consigli sulla loro riassegnazione. Ciò ti abilita ad utilizzare le tue risorse in modo efficiente durante l’addestramento e aiuta a ridurre i costi e le risorse.			
Amazon sagemaker supporta l’addestramento distribuito?											Sì. Amazon SageMaker è in grado di distribuire automaticamente modelli di deep learning e grandi set di addestramento fra istanze AWS GPU in una frazione del tempo necessario per costruire e ottimizzare queste strategie di distribuzione manualmente. Le due tecniche di addestramento distribuite che SageMaker applica sono il parallelismo dei dati e il parallelismo dei modelli. Il parallelismo dei dati viene applicato per migliorare la velocità di addestramento dividendo i dati equamente fra più istanze della GPU, permettendo a ciascuna istanza di addestrarsi contemporaneamente. Il parallelismo del modello è utile per i modelli troppo grandi per essere memorizzati su una singola GPU e richiedono che il modello sia partizionato in parti più piccole prima di essere distribuito su più GPU. Con solo poche righe di codice aggiuntivo nei tuoi script di addestramento PyTorch e TensorFlow, SageMaker applicherà automaticamente il parallelismo dei dati o il parallelismo dei modelli, consentendoti di sviluppare e distribuire i tuoi modelli più velocemente. SageMaker determinerà il miglior approccio per dividere il modello usando algoritmi di partizionamento dei grafici per bilanciare il calcolo di ciascuna GPU e minimizzando la comunicazione tra istanze GPU. Inoltre, SageMaker ottimizza i processi di addestramento distribuiti tramite algoritmi che sfruttano appieno le capacità di calcolo e la rete di AWS per raggiungere un'efficienza di scalabilità quasi lineare. In questo modo, è possibile completare l'addestramento più velocemente rispetto alle implementazioni open source manuali.			
Cos'è il compilatore di formazione amazon sagemaker?											Il Compilatore di formazione Amazon SageMaker è un compilatore di deep learning (DL) che accelera l'addestramento dei modelli di DL fino al 50% attraverso ottimizzazioni a livello di grafico e di kernel per utilizzare le GPU in modo più efficiente. Il Compilatore di formazione SageMaker è integrato con le versioni di TensorFlow e PyTorch in SageMaker, in modo da poter accelerare l'addestramento in questi framework popolari con modifiche minime al codice.			
Come funziona il compilatore di formazione amazon sagemaker?											Il Compilatore di formazione Amazon SageMaker accelera i processi di addestramento convertendo i modelli di DL dalla loro rappresentazione in linguaggio di alto livello a istruzioni ottimizzate per l'hardware che si addestrano più velocemente dei processi con i framework nativi. Più specificamente, il Compilatore di formazione SageMaker usa l'ottimizzazione a livello di grafico (fusione di operatori, pianificazione della memoria e semplificazione algebrica), le ottimizzazioni a livello di flusso di dati (trasformazione del layout, eliminazione delle sottoespressioni comuni) e le ottimizzazioni di back-end (nascondere la latenza della memoria, ottimizzazioni orientate ai circuiti) per produrre un processo di addestramento dei modelli ottimizzato che sfrutta in modo più efficiente le risorse hardware e, di conseguenza, esegue più velocemente l'addestramento.			
Come si utilizza il compilatore di formazione amazon sagemaker?											Il Compilatore di formazione Amazon SageMaker è integrato nell'SDK SageMaker per Python e nei container di deep learning SageMaker Hugging Face. Non è necessario modificare i flussi di lavoro per accedere ai vantaggi in termini di accelerazione. È possibile eseguire i processi di addestramento nel modo in cui già operi utilizzando una qualsiasi delle interfacce di SageMaker: istanze del notebook Amazon SageMaker, Amazon SageMaker Studio, AWS SDK per Python (Boto3) e interfaccia della linea di comando AWS (AWS CLI). È possibile attivare il Compilatore di formazione Amazon SageMaker aggiungendo una classe TrainingCompilerConfig come parametro quando si crea un oggetto stimatore di framework. In pratica, questo significa un paio di righe di codice aggiunte a uno script di addestramento esistente per una singola istanza GPU. La documentazione dettagliata più aggiornata, i notebook di prova e gli esempi sono disponibili nella documentazione.			
Quanto costa il compilatore di formazione amazon sagemaker?											Il Compilatore di formazione è una caratteristica di addestramento di SageMaker fornita senza costi aggiuntivi esclusivamente ai clienti di SageMaker. I clienti possono in effetti ridurre i costi con Training Compiler poiché i tempi di addestramento sono ridotti.			
Cos'è managed spot training?											Managed Spot Training con Amazon SageMaker ti consente di addestrare i modelli di ML utilizzando le istanze Spot di Amazon EC2, riducendo al contempo il costo della formazione fino al 90%.			
In che modo è possibile utilizzare managed spot training?											Puoi abilitare l'opzione Managed Spot Training durante l'invio dei tuoi processi di addestramento e specificare quanto a lungo desideri attendere per la capacità Spot. Amazon SageMaker gestisce la capacità Spot e utilizza le istanze Spot di Amazon EC2 per eseguire i tuoi processi. Avrai completa visibilità sullo stato del processo di formazione, sia quando è in esecuzione sia quando è in attesa di capacità disponibile.			
In quali casi è indicato utilizzare managed spot training?											Managed Spot Training è ideale quando hai la flessibilità di scegliere il momento in cui eseguire i processi di addestramento e per ridurre al minimo il loro costo. Con Managed Spot Training puoi ridurre il costo dell'addestramento dei modelli di ML fino al 90%.			
Come funziona managed spot training?											Managed Spot Training utilizza le istanze Spot di Amazon EC2 per l'addestramento. Queste istanze possono essere annullate nel caso in cui sia necessaria capacità per AWS. Come risultato, i processi di Managed Spot Training possono essere eseguiti in piccoli incrementi non appena la capacità diventa disponibile. I processi di addestramento non devono essere riavviati da zero in caso di interruzione, in quanto Amazon SageMaker può ripristinarli utilizzando l'ultimo checkpoint del modello. I framework e gli algoritmi di visione computerizzata integrati in SageMaker consentono di creare checkpoint periodici da poter abilitare con i modelli personalizzati.			
Con managed spot training è necessario creare checkpoint periodicamente?											Consigliamo di creare checkpoint periodici come procedura consigliata generale per i processi di addestramento con esecuzione prolungata. In questo modo è possibile evitare il riavvio dei processi di Managed Spot Training in caso di annullamento della capacità. Abilitando i checkpoint, Amazon SageMaker ripristina i processi di Managed Spot Training dall'ultimo checkpoint.			
In che modo è possibile calcolare il risparmio sui costi con i processi di managed spot training?											Quando completi un processo di Managed Spot Training, puoi visualizzare il risparmio nella Console di gestione AWS e calcolare il risparmio sui costi anche come differenza percentuale tra la durata di esecuzione del processo di formazione e la durata per la quale hai ricevuto la fattura. Indipendentemente dal numero di interruzioni dei processi di Managed Spot Training, i costi ti verranno addebitati solo una volta per la durata per cui i dati erano stati scaricati.			
Quali istanze si possono utilizzare con managed spot training?											La funzione Managed Spot Training può essere utilizzata con tutte le istanze supportate in Amazon SageMaker.			
Quali regioni di aws sono supportate con managed spot training?											Managed Spot Training è supportato in tutte le regioni di AWS nelle quali Amazon SageMaker è attualmente disponibile.			
Sono previste limitazioni per il set di dati utilizzabile per l'addestramento?											Non sono previsti limiti fissi alle dimensioni del set di dati utilizzabile per l'addestramento di modelli con Amazon SageMaker.			
Quali algoritmi usa amazon sagemaker per generare modelli?											Amazon SageMaker include di default algoritmi per regressione lineare, regressione logistica, clustering k-medie, analisi delle componenti principali, macchine di fattorizzazione, topic modeling neurale, allocazione latente di Dirichlet, alberi con gradient boosting, sequence2sequence, previsione di serie storiche, word2vec e classificazione di immagini. SageMaker fornisce inoltre container ottimizzati Apache MXNet, Tensorflow, Chainer, PyTorch, Gluon, Keras, Horovod, Scikit-learn e Deep Graph Library. Infine, Amazon SageMaker supporta gli algoritmi di addestramento personalizzati tramite immagini Docker conformi alle specifiche documentate.			
Cos'è l'ottimizzazione automatica dei modelli la maggior parte degli algoritmi di ml impiegano una serie di parametri che controllano il funzionamento dell'algoritmo sottostante. questi parametri vengono in genere chiamati iperparametri; i loro valori influenzano la qualità dei modelli addestrati. l'ottimizzazione automatica dei modelli è il processo di ricerca di un set di iperparametri di un algoritmo che offrano un modello ottimale. ?											D: Cos'è l'ottimizzazione automatica dei modelli La maggior parte degli algoritmi di ML impiegano una serie di parametri che controllano il funzionamento dell'algoritmo sottostante. Questi parametri vengono in genere chiamati iperparametri; i loro valori influenzano la qualità dei modelli addestrati. L'ottimizzazione automatica dei modelli è il processo di ricerca di un set di iperparametri di un algoritmo che offrano un modello ottimale.			
A quali modelli può essere applicata l'ottimizzazione automatica dei modelli?											È possibile eseguire l'ottimizzazione di modelli in Amazon SageMaker su qualsiasi algoritmo purché sia scientificamente fattibile, ad esempio algoritmi integrati in SageMaker, reti neurali profonde o algoritmi arbitrari caricati in SageMaker sotto forma di immagini Docker.			
È possibile utilizzare l'ottimizzazione automatica dei modelli al di fuori di amazon sagemaker?											No, al momento no. Amazon SageMaker fornisce il massimo livello di esperienza e prestazioni di regolazione dei modelli.			
In cosa consiste l'algoritmo di regolazione automatica dei modelli?											Al momento, l'algoritmo per la regolazione degli iperparametri è un'implementazione personalizzata dell'ottimizzazione bayesiana. Il suo scopo è ottimizzare una metrica obiettivo specificata dal cliente lungo l'intero processo di regolazione. In particolare, verifica le metriche dell'oggetto per i processi di addestramento completati e utilizza i dati ottenuti per dedurre la combinazione di iperparametri per il processo di addestramento successivo.			
La regolazione automatica dei modelli suggerisce iperparametri specifici per la regolazione?											No. Il modo in cui i singoli iperparametri alterano le prestazioni di un modello dipende da diversi fattori e non è semplice stabilire se un iperparametro sia più importante di altri e debba essere quindi regolato. Per gli algoritmi in Amazon SageMaker, è già stabilito quali iperparametri possono essere ottimizzati.			
Quanto tempo richiede un processo di ottimizzazione di iperparametri?											La durata di un processo di ottimizzazione degli iperparametri dipende da diversi fattori, tra cui le dimensioni dei dati, l'algoritmo sottostante e i valori degli iperparametri. Inoltre, i clienti potranno scegliere il numero di processi di addestramento simultanei e il numero totale. Tutte queste scelte influenzano la durata del processo di ottimizzazione.			
È possibile ottimizzare diversi obiettivi simultaneamente, ad esempio ottimizzando un modello sia rapido sia preciso?											No, al momento no. Al momento è necessario specificare un singolo obiettivo di ottimizzazione, oppure modificare il codice dell'algoritmo in modo che emetta un nuovo parametro, che sarà confrontato con altri parametri per applicarvi il processo di addestramento secondo il nuovo obiettivo.			
Quanto costa l'ottimizzazione automatica dei modelli?											Per il processo di ottimizzazione di per sé non è previsto alcun costo. Saranno tuttavia addebitati i costi dei processi di addestramento avviati dal processo di regolazione degli iperparametri in base ai prezzi di regolazione dei modelli.			
Cosa determina la scelta di usare amazon sagemaker o l’ottimizzazione automatica dei modelli?											Amazon SageMaker Autopilot automatizza tutto in un tipico flusso di lavoro di ML, tra cui la preelaborazione delle funzioni, la selezione dell'algoritmo e l'ottimizzazione dell'iperparametro, concentrandosi in particolare sui casi d'uso di classificazione e regressione. L'ottimizzazione automatica dei modelli, d'altra parte, è progettata per ottimizzare qualsiasi modello, indipendentemente dal fatto che si basi su algoritmi integrati, framework di deep learning o container personalizzati. Per ottenere flessibilità, è necessario selezionare manualmente l'algoritmo specifico, gli iperparametri da ottimizzare e gli intervalli di ricerca corrispondenti.			
Cos'è il consolidamento dell'apprendimento?											Il consolidamento dell'apprendimento è una tecnica di ML che consente a un agente di imparare in un ambiente interattivo tramite prove ed errori utilizzando feedback dalle proprie azioni ed esperienze.			
Posso formare i modelli di consolidamento dell'apprendimento in amazon sagemaker?											Sì, è possibile formare i modelli di consolidamento dell'apprendimento in Amazon SageMaker oltre ai tradizionali modelli di apprendimento supervisionato e non supervisionato.			
In cosa è diverso il consolidamento dell'apprendimento da quello supervisionato?											Sebbene sia l'apprendimento supervisionato che il consolidamento dell'apprendimento utilizzino la mappatura tra input e output, nell'apprendimento supervisionato il feedback fornito all'agente è un insieme di azioni corretto per eseguire un'attività, mentre il consolidamento dell'apprendimento utilizza un feedback ritardato dove i segnali di ricompensa sono ottimizzati per assicurare un obiettivo a lungo termine tramite una sequenza di azioni.			
Quando è indicato utilizzare il consolidamento dell'apprendimento?											Mentre l'obiettivo delle tecniche di apprendimento supervisionato è di trovare la risposta esatta in base ai modelli nei dati di training, l'obiettivo delle tecniche di apprendimento non supervisionato è di trovare similitudini e differenze tra i punti di dati. Al contrario, l'obiettivo delle tecniche di apprendimento per rinforzo (RL, reinforcement learning) è di imparare come ottenere un risultato desiderato anche quando non è chiaro come raggiungere tale risultato. Di conseguenza, RL è più adatto per abilitare le applicazioni intelligenti dove un agente può prendere decisioni autonome come nella robotica, veicoli con pilota automatico, HVAC, controllo industriale e altro.			
Che tipo di ambienti posso usare per addestrare i modelli rl?											Amazon SageMaker RL supporta un numero di ambienti diversi per la formazione di modelli di RL. È possibile utilizzare i servizi AWS come AWS RoboMaker, gli ambienti open source o personalizzati sviluppato utilizzando le interfacce Open AI Gym o gli ambienti di simulazione commerciale come MATLAB e SimuLink.			
Ho bisogno di scrivere i miei algoritmi di agenti rl per addestrare i modelli rl?											No, Amazon SageMaker RL include i kit di strumenti RL come Coach e Ray RLLib che offrono implementazioni o algoritmi di agente RL come DQN, PPO, A3C e molti altri.			
Posso portare le mie librerie rl e l'implementazione di algoritmi ed eseguirli in amazon sagemaker rl?											Sì, è possibile portare le librerie RL e le implementazione di algoritmi in container Docker ed eseguirle in Amazon SageMaker RL.			
Posso effettuare rollout distribuiti utilizzando amazon sagemaker rl?											Sì. È anche possibile selezionare un cluster eterogeneo in cui la formazione può essere eseguita su un'istanza GPU e le simulazioni possono essere eseguite su più istanze CPU.			
Quali opzioni di implementazione fornisce amazon sagemaker?											Una volta creati e formati dei modelli, Amazon SageMaker fornisce tre opzioni per implementarli, permettendoti di iniziare a fare previsioni. L'inferenza in tempo reale è adeguata per carichi di lavoro con requisiti di latenza di millisecondi, dimensioni di payload fino a 6MB e tempi di elaborazione fino a 60 secondi. La trasformazione in batch è ideale per previsioni offline su grandi batch di dati disponibili in anticipo. L'inferenza asincrona è progettata per carichi di lavoro che non richiedono latenza inferiore al secondo, dimensioni di payload fino a 1 GB e tempi di elaborazione fino a 15 minuti.			
Cos'è amazon sagemaker asynchronous inference?											Amazon SageMaker Asynchronous Inference mette in coda le richieste in entrata, elaborandole in maniera asincrona. Questa opzione è ideale per richieste con payload di grandi dimensioni e tempi di elaborazione lunghi che richiedono l'elaborazione al loro arrivo. Facoltativamente, quando non stai elaborando attivamente delle richieste, puoi configurare la scalabilità automatica per ridurre a zero il conto delle istanze e risparmiare sui costi.			
Come configuro le impostazioni di scalabilità automatica per ridurre a zero il conto delle istanze quando non sto elaborando le richieste attivamente?											"È possibile ridurre a zero il conto delle istanze di endpoint di Amazon SageMaker Asynchronous Inference per risparmiare sui costi quando non stai elaborando le richieste attivamente. È necessario definire una policy di dimensionamento che dimensioni sul parametro personalizzato ""ApproximateBacklogPerInstance"" e imposti il valore ""MinCapacity"" su zero. Per istruzioni dettagliate, visita la sezione Dimensionamento automatico di un endpoint asincrono nella guida per gli sviluppatori."			
Cos'è amazon sagemaker serverless inference?											Amazon SageMaker Serverless Inference è un'opzione di servizio di modelli serverless dedicata che semplifica l’implementazione e la scalabilità dei modelli di ML. Gli endpoint di SageMaker Serverless Inference avviano automaticamente le risorse di calcolo e le dimensionano dentro e fuori a seconda del traffico, eliminando la necessità di scegliere il tipo di istanza, eseguire capacità in provisioning o gestire il dimensionamento. Puoi opzionalmente specificare i requisiti di memoria per il tuo endpoint di inferenza serverless. Paghi solo per la durata dell'esecuzione del codice di inferenza e la quantità di dati elaborati, non per i periodi di inattività.			
Perché dovrei usare amazon sagemaker serverless inference?											Amazon SageMaker Serverless Inference semplifica l'esperienza dello sviluppatore eliminando la necessità di effettuare il provisioning di capacità in anticipo e gestire le policy di dimensionamento. SageMaker Serverless Inference può dimensionare istantaneamente da decine a migliaia di inferenze in pochi secondi in base ai modelli di utilizzo, rendendolo ideale per applicazioni ML con traffico intermittente o imprevedibile. Per esempio, un servizio di chatbot utilizzato da un'azienda di elaborazione di buste paga sperimenta un aumento delle richieste alla fine del mese, mentre per il resto del mese il traffico è intermittente. Effettuare il provisioning delle istanze per l'intero mese in questi scenari non è conveniente perché si finisce per pagare per i periodi di inattività. SageMaker Serverless Inference aiuta ad affrontare questi tipi di casi d'uso fornendo un dimensionamento automatico e veloce pronto all’uso senza la necessità di prevedere il traffico in anticipo o gestire le policy di dimensionamento. Inoltre, viene addebitato soltanto il tempo di calcolo richiesto per eseguire il codice dell'inferenza (fatturato in millisecondi) e per l'elaborazione dei dati, rendendolo un'opzione conveniente per i carichi di lavoro con traffico intermittente.			
Cos'è provisioned concurrency per l'inferenza serverless sagemaker?											Provisioned Concurrency consente di implementare modelli su endpoint serverless con prestazioni prevedibili e scalabilità elevata, mantenendo gli endpoint pronti per un numero specificato di richieste simultanee.			
Perché è indicato utilizzare provisioned concurrency?											Con gli endpoint serverless on demand, se l'endpoint non riceve traffico per un po' di tempo e poi riceve improvvisamente nuove richieste, l'endpoint può impiegare del tempo per attivare le risorse di calcolo per elaborare le richieste. Questo si chiama avvio a freddo. Un avvio a freddo può verificarsi anche se le richieste simultanee superano l'utilizzo corrente delle richieste simultanee. Il tempo di avvio a freddo dipende dalle dimensioni del modello, dal tempo necessario per scaricare il modello e dal tempo di avvio del container. Per ridurre la variabilità del profilo di latenza, puoi facoltativamente abilitare Provisioned concurrency per i tuoi endpoint serverless. Grazie a Provisioned concurrency, i tuoi endpoint serverless sono sempre pronti e possono gestire istantaneamente picchi di traffico, senza avvii a freddo.			
Quali costi vengono addebitati per provisioned concurrency?											Come per Inferenza serverless on demand, quando la funzionalità Provisioned concurrency è abilitata, si paga in base alla capacità di calcolo utilizzata per elaborare le richieste di inferenza, fatturata al millisecondo, e alla quantità di dati elaborati. Paghi anche per l'utilizzo di Provisioned concurrency, in base alla memoria configurata, alla durata fornita e alla quantità di concorrenza abilitata. Per ulteriori informazioni, visita Prezzi di SageMaker.			
Cos'è amazon sagemaker shadow testing?											SageMaker facilita l'esecuzione di shadow test per valutare un nuovo modello di ML prima del rilascio in produzione testandone le prestazioni rispetto al modello attualmente implementato. SageMaker implementa il nuovo modello in modalità shadow accanto al modello di produzione corrente, eseguendo il mirroring di una porzione specificata dall'utente del traffico di produzione al nuovo modello. Se lo si desidera, registra le inferenze del modello per un confronto offline. Inoltre, fornisce un dashboard in tempo reale con un confronto delle metriche di prestazione chiave, come latenza e tasso di errore, tra i modelli di produzione e shadow, per rendere più facile decidere se passare il nuovo modello in produzione.  D: Quali sono i vantaggi di SageMaker per lo shadow testing?  SageMaker semplifica il processo di configurazione e monitoraggio delle varianti shadow per valutare le prestazioni del nuovo modello di ML sul traffico di produzione dal vivo. SageMaker elimina la necessità di orchestrare l'infrastruttura per lo shadow testing. Consente di controllare i parametri di test, come ad esempio la percentuale di traffico in mirroring sulla variante shadow e la durata del test. Di conseguenza, è possibile partire su scala ridotta e incrementare le richieste di inferenza del nuovo modello dopo averne verificato le prestazioni. SageMaker crea un dashboard in tempo reale che visualizza le differenze di prestazione rispetto ad alcune metriche chiave, consentendo di confrontare con facilità le prestazioni dei modelli per valutare la differenza fra il nuovo modello e quello in produzione.			
Cos'è l'inferenza con funzione di suggerimento amazon sagemaker?											Amazon SageMaker Inference Recommender è una nuova funzionalità di Amazon SageMaker che riduce il tempo necessario per mettere in produzione i modelli ML automatizzando il benchmarking delle prestazioni e regolando le prestazioni del modello attraverso le istanze ML di SageMaker. Ora è possibile usare SageMaker Inference Recommender per implementare il proprio modello in un endpoint che offre le migliori prestazioni e riduce al minimo i costi. Puoi iniziare con SageMaker Inference Recommender in pochi minuti selezionando un tipo di istanza e ottenere raccomandazioni per configurazioni ottimali di endpoint in poche ore, eliminando settimane di test manuali e i tempi di messa a punto. Con l'Inferenza con funzione di suggerimento SageMaker, paghi solo per le istanze di ML di SageMaker utilizzate durante i test di carico senza costi aggiuntivi.  D: Perché dovrei usare l'Inferenza con funzione di suggerimento Amazon SageMaker? L'utilizzo dell'Inferenza con funzione di suggerimento SageMaker è consigliato se hai bisogno di suggerimenti sulla configurazione degli endpoint appropriata per migliorare le prestazioni e ridurre i costi. In precedenza, i data scientist che volevano implementare i loro modelli dovevano eseguire dei benchmark manuali per selezionare la giusta configurazione degli endpoint. Dovevano prima selezionare il giusto tipo di istanza ML tra gli oltre 70 tipi di istanze disponibili in base ai requisiti di risorse dei loro modelli e dei payload di prova, e quindi ottimizzare il modello per tenere conto dei diversi hardware. Poi, dovevano condurre minuziosi test di carico per accertarsi che i requisiti di latenza e di velocità effettiva venissero soddisfatti e che i costi fossero bassi. L'Inferenza con funzione di suggerimento SageMaker elimina questa complessità semplificando le seguenti operazioni: 1) iniziare in pochi minuti con un suggerimento sull'istanza; 2) condurre test di carico su vari tipi di istanza per ottenere suggerimenti sulla configurazione del proprio endpoint in poche ore; 3) regolare automaticamente i parametri dei server dei modelli e dei container, nonché eseguire ottimizzazioni dei modelli per un dato tipo di istanza.  D: Come funziona l'Inferenza con funzione di suggerimento Amazon SageMaker con altri servizi AWS? I data scientist possono accedere all'nferenza con funzione di suggerimento Amazon SageMaker da SageMaker Studio, AWS SDK per Python (Boto3) o da AWS CLI. Possono ottenere suggerimenti sull'implementazione all'interno di SageMaker Studio nel registro dei modelli di SageMaker per le versioni registrate del modello. I data scientist possono cercare e filtrare i suggerimenti attraverso SageMaker Studio, l'SDK AWS o AWS CLI.			
L'inferenza con funzione di suggerimento amazon sagemaker può supportare endpoint multi-modello o endpoint multi-container?											No, attualmente supportiamo un solo modello per endpoint.			
Che tipo di endpoint supporta sagemaker inference recommender?											Attualmente supportiamo solo endpoint in tempo reale.			
Posso utilizzare l'inferenza con funzione di suggerimento amazon sagemaker in una regione ed effettuare un benchmark in regioni diverse?											Al lancio, supporteremo tutte le regioni supportate da Amazon SageMaker, eccetto le regioni AWS Cina.			
L'inferenza con funzione di suggerimento amazon sagemaker supporta le istanze amazon ec2 inf1?											Sì, supportiamo tutti i tipi di container. Amazon EC2 Inf1, basata sul chip AWS Inferentia, richiede un artefatto di modello compilato utilizzando il compilatore Neuron o Amazon SageMaker Neo. Una volta che disponi di un modello compilato per un target Inferentia e l'URI dell'immagine del container associato, puoi utilizzare l'Inferenza con funzione di suggerimento Amazon SageMaker per valutare diversi tipi di istanze Inferentia.			
Cos'è amazon sagemaker model monitor?											Amazon SageMaker Model Monitor consente agli sviluppatori di rilevare e correggere il concept drift. SageMaker Model Monitor rileva automaticamente la deviazione di concept nei modelli implementati e fornisce avvisi dettagliati che aiutano a identificare la causa del problema. Tutti i modelli addestrati su SageMaker emettono automaticamente metriche chiave che possono essere raccolte e visualizzate in Amazon SageMaker Studio. Dall'interno di SageMaker Studio è possibile configurare i dati da raccogliere, le modalità di visualizzazione e quando ricevere gli avvisi.			
